source_ENSEMBL target_ENSEMBL interaction
ENSG00000097007 ENSG00000105287 1
ENSG00000097007 ENSG00000177455 1
ENSG00000097007 ENSG00000158092 1
ENSG00000097007 ENSG00000105976 1
ENSG00000097007 ENSG00000180353 1
ENSG00000097007 ENSG00000154016 1
ENSG00000097007 ENSG00000131051 1
ENSG00000097007 ENSG00000120896 1
ENSG00000097007 ENSG00000198625 -1
ENSG00000097007 ENSG00000111276 -1
ENSG00000097007 ENSG00000175054 1
ENSG00000097007 ENSG00000177885 1
ENSG00000097007 ENSG00000115415 1
ENSG00000097007 ENSG00000154556 1
ENSG00000097007 ENSG00000100906 1
ENSG00000097007 ENSG00000204628 1
ENSG00000097007 ENSG00000002834 1
ENSG00000097007 ENSG00000085733 1
ENSG00000097007 ENSG00000140368 1
ENSG00000097007 ENSG00000184304 1
ENSG00000097007 ENSG00000133216 1
ENSG00000097007 ENSG00000174791 1
ENSG00000097007 ENSG00000165392 -1
ENSG00000097007 ENSG00000065534 1
ENSG00000097007 ENSG00000160691 1
ENSG00000097007 ENSG00000105974 1
ENSG00000097007 ENSG00000079805 1
ENSG00000097007 ENSG00000160293 1
ENSG00000143322 ENSG00000184990 1
ENSG00000143322 ENSG00000106299 1
ENSG00000143322 ENSG00000174791 1
ENSG00000143322 ENSG00000172216 1
ENSG00000143322 ENSG00000173166 1
ENSG00000143322 ENSG00000085733 1
ENSG00000143322 ENSG00000101182 -1
ENSG00000143322 ENSG00000167193 -1
ENSG00000143322 ENSG00000131981 1
ENSG00000143322 ENSG00000154556 1
ENSG00000143322 ENSG00000233276 1
ENSG00000143322 ENSG00000121691 1
ENSG00000159842 ENSG00000136238 -1
ENSG00000163322 ENSG00000012048 1
ENSG00000167315 ENSG00000176171 -1
ENSG00000102977 ENSG00000132383 -1
ENSG00000102977 ENSG00000117748 -1
ENSG00000102977 ENSG00000106399 -1
ENSG00000102977 ENSG00000092330 1
ENSG00000102977 ENSG00000164362 1
ACD_POT1_TERF1_TERF2_TERF2IP_TINF2 ENSG00000149311 -1
ENSG00000159640 ENSG00000135744 1
ENSG00000130234 ENSG00000171388 1
ENSG00000130234 ENSG00000135744 1
ENSG00000161533 ENSG00000078900 -1
ENSG00000143727 ENSG00000197122 -1
ENSG00000143727 ENSG00000142627 1
ENSG00000143727 ENSG00000105221 -1
ENSG00000143727 ENSG00000142208 -1
ENSG00000143727 ENSG00000169398 -1
ENSG00000143727 ENSG00000113721 -1
ENSG00000143727 ENSG00000115085 -1
ENSG00000143727 ENSG00000117020 -1
ENSG00000143727 ENSG00000168036 1
ENSG00000162836 ENSG00000186834 1
ENSG00000143632 ENSG00000136238 1
ENSG00000143632 ENSG00000085733 1
ENSG00000075624 ENSG00000097007 -1
ENSG00000075624 ENSG00000284832 1
ENSG00000075624 ENSG00000085733 1
ENSG00000075624 ENSG00000181222 1
ENSG00000075624 ENSG00000075651 -1
ENSG00000075624 ENSG00000163466 1
ENSG00000075624 ENSG00000172757 -1
ENSG00000136518 ENSG00000149311 1
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1 ENSG00000159216 1
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1 ENSG00000141510 1
ENSG00000072110 ENSG00000129219 -1
ENSG00000072110 ENSG00000014216 -1
ENSG00000072110 ENSG00000075651 -1
ENSG00000072110 ENSG00000197122 1
ENSG00000072110 ENSG00000145012 1
ENSG00000130402 ENSG00000164867 -1
ENSG00000138071 ENSG00000135503 1
ENSG00000115170 ENSG00000170365 1
ENSG00000115170 ENSG00000113658 1
ENSG00000115170 LIN7C_PALS1_PATJ 1
ENSG00000115170 ENSG00000120693 1
ENSG00000115170 ENSG00000166887 1
ENSG00000135503 ENSG00000175387 1
ENSG00000135503 ENSG00000141646 1
ENSG00000135503 ENSG00000111802 1
ENSG00000135503 ENSG00000166949 1
ENSG00000123612 ENSG00000166949 1
ENSG00000123612 ENSG00000175387 1
ENSG00000121989 ENSG00000115170 1
